# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.6814827e+02    1.3134330e+00    4.3808871e-01    7.6136357e-01    1.9151163e-01    1.4067216e+00    5.9121896e+19    7.1087270e-01    4.4755830e-01   -1.0000000e+00   -1.0000000e+00
   -3.6805623e+02    1.3133623e+00    4.3805596e-01    7.6140451e-01    1.9149870e-01    1.4065882e+00    5.9113271e+19    7.1094016e-01    4.4752361e-01   -1.0000000e+00   -1.0000000e+00
   -3.6795945e+02    1.3132857e+00    4.3802041e-01    7.6144892e-01    1.9148467e-01    1.4064434e+00    5.9103915e+19    7.1101331e-01    4.4748596e-01   -1.0000000e+00   -1.0000000e+00
   -3.6786404e+02    1.3132080e+00    4.3798430e-01    7.6149400e-01    1.9147041e-01    1.4062966e+00    5.9094415e+19    7.1108756e-01    4.4744772e-01   -1.0000000e+00   -1.0000000e+00
   -3.6776999e+02    1.3131292e+00    4.3794767e-01    7.6153968e-01    1.9145595e-01    1.4061478e+00    5.9084787e+19    7.1116280e-01    4.4740893e-01   -1.0000000e+00   -1.0000000e+00
   -3.6767621e+02    1.3130486e+00    4.3791017e-01    7.6158643e-01    1.9144114e-01    1.4059956e+00    5.9074934e+19    7.1123977e-01    4.4736922e-01   -1.0000000e+00   -1.0000000e+00
   -3.6757883e+02    1.3129629e+00    4.3787023e-01    7.6163617e-01    1.9142537e-01    1.4058337e+00    5.9064447e+19    7.1132167e-01    4.4732692e-01   -1.0000000e+00   -1.0000000e+00
   -3.6748207e+02    1.3128757e+00    4.3782961e-01    7.6168672e-01    1.9140933e-01    1.4056693e+00    5.9053788e+19    7.1140488e-01    4.4728391e-01   -1.0000000e+00   -1.0000000e+00
   -3.6738705e+02    1.3127884e+00    4.3778888e-01    7.6173736e-01    1.9139324e-01    1.4055046e+00    5.9043107e+19    7.1148823e-01    4.4724078e-01   -1.0000000e+00   -1.0000000e+00
   -3.6728800e+02    1.3126958e+00    4.3774560e-01    7.6179112e-01    1.9137614e-01    1.4053299e+00    5.9031766e+19    7.1157671e-01    4.4719496e-01   -1.0000000e+00   -1.0000000e+00
